Blight,Yes,Yes,5,0
Cannibal,Yes,Yes,0,1
Clown,Yes,Yes,2,0
Deathslinger,Yes,Yes,2,1
Demogorgon,Yes,Yes,1,2
Doctor,Yes,Yes,0,1
Executioner,Yes,Yes,1,1
Ghostface,Yes,Yes,3,0
Hag,Yes,Yes,1,1
Hillbilly,Yes,Yes,0,4
Huntress,Yes,Yes,1,0
Legion,Yes,Yes,1,3
Nightmare,Yes,Yes,1,1
Nurse,Yes,Yes,15,0
Oni,Yes,Yes,1,2
Pig,Yes,Yes,4,1
Plague,Yes,Yes,1,2
Shape,Yes,Yes,0,1
Spirit,Yes,Yes,0,2
Trapper,Yes,Yes,0,2
Twins,Yes,Yes,0,2
Wraith,Yes,Yes,1,3
